term,OR,CI_low,CI_high,p_value
Intercept,1.0789919382316726,0.42181726247326684,2.7600188668018903,
C(month)[T.1],0.7425453485763238,0.2603655372833332,2.117690384239763,
C(month)[T.2],2.217083051907091,0.8684077702153151,5.660310084322381,
C(month)[T.3],0.9431688807889738,0.9431688807889738,0.9431688807889738,
C(month)[T.4],0.9376738436676915,0.9376738436676915,0.9376738436676915,
C(month)[T.5],1.5838560685119936,1.5838560685119936,1.5838560685119936,
rat_pressure,1.0,0.02558266293756953,39.0889721855908,
season,0.9777865271117562,0.9777865271117562,0.9777865271117562,
rat_pressure:season,1.1534092261236482,0.02847016291508765,46.727967341631825,
hours_after_sunset,0.9365714987135405,0.8848899955068878,0.9912714310890858,
time_since_rat_minutes,1.021921977176593,0.9877804610071002,1.0572435562976887,
